ID,Metrekare,OdaSayisi,BinaYasi,Sehir,Ilce,Fiyat
6.18,115 m²,3 + 1,26 Yaşında,İzmir,"Balçova, Onur Mahallesi","3.200.000
TL"
6.19,105 m²,3 + 1,5 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","5.800.000
TL"
6.20,120 m²,3 + 1,20 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","2.350.000
TL"
6.21,90 m²,2 + 1,30 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","1.850.000
TL"
6.22,120 m²,3 + 1,45 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","3.500.000
TL"
6.23,95 m²,2 + 1,5 Yaşında,İzmir,"Balçova, Onur Mahallesi","4.250.000
TL"
6.24,135 m²,3 + 1,28 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","4.500.000
TL"
7.1,105 m²,2 + 1,5 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","3.590.000
TL"
7.2,125 m²,3 + 1,35 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","2.700.000
TL"
7.3,100 m²,2 + 1,35 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","2.650.000
TL"
7.4,117 m²,2 + 1,30 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","4.850.000
TL"
7.5,100 m²,2 + 1,7 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","3.000.000
TL"
7.6,90 m²,2 + 1,3 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","3.400.000
TL"
7.7,90 m²,2 + 1,26 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","2.900.000
TL"
7.8,120 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","2.950.000
TL"
7.9,145 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","2.350.000
TL"
7.10,80 m²,2 + 1,38 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","2.500.000
TL"
7.11,110 m²,2 + 1,30 Yaşında,İzmir,"Balçova, Onur Mahallesi","2.000.000
TL"
7.12,85 m²,2 + 1,9 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","5.000.000
TL"
7.13,120 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","3.000.000
TL"
7.14,125 m²,3 + 1,50 Yaşında,İzmir,"Balçova, Bahçelerarası Mahallesi","3.100.000
TL"
7.15,125 m²,3 + 1,7 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","4.150.000
TL"
7.16,90 m²,2 + 1,26 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","2.600.000
TL"
7.17,148 m²,3 + 1,28 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","4.500.000
TL"
7.18,300 m²,4 + 1,16 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","9.650.000
TL"
7.19,255 m²,6 + 1,8 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","25.500.000
TL"
7.20,135 m²,3 + 1,20 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","4.500.000
TL"
7.21,135 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","3.600.000
TL"
7.22,140 m²,3 + 1,3 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","6.250.000
TL"
7.23,75 m²,2 + 1,40 Yaşında,İzmir,"Balçova, Onur Mahallesi","1.925.000
TL"
7.24,135 m²,3 + 1,27 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","3.750.000
TL"
8.1,185 m²,3 + 1,9 Yaşında,İzmir,"Balçova, Onur Mahallesi","7.300.000
TL"
